Piotr Protasiewicz
Jarosław Hampel
Patryk Dudek
Jason Doyle
Kenni Larsen
Andriej Karpow
Aleksandr Łoktajew
Krzysztof Kasprzak
Niels Kristian Iversen
Matej Zagar
Przemysław Pawlicki
Michael Jepsen Jensen
Tobiasz Musielak
Nicki Pedersen
Emil Sajfutdinow
Grzegorz Zengota
Piotr Pawlicki
Peter Kildemand
Bartosz Smektała
Dominik Kubera
Daniel Kaczmarek
Marek Lutowicz
Marcin Nowak
Chris Holder
Adrian Miedziński
Greg Hancock
Martin Vaculik
Grzegorz Walasek
Kacper Gomólski
Maciej Janowski
Tai Woffinden
Tomasz Jędrzejak
Vaclav Milik
Nick Morris
Szymon Woźniak
Janusz Kołodziej
Leon Madsen
Kenneth Bjerre
Mikkel Michelsen
Piotr Świderski
Tomasz Gollob
Krzysztof Buczkowski
Artiom Łaguta
Rafał Okoniewski
Antonio Lindbaeck
Peter Ljung
